Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,street,city,state,zip,dob,trans_num,merch_lat,merch_long,lat,long,city_pop,job,dob_year,is_fraud
47,2023-07-09,4119350200333585,Target,online,279.57041634114273,Mike,Smith,Oak Ave,New York,NY,10671,2018-06-02,TXN000047,-16.580713166935396,-10.619741127714377,72.9843645847348,140.51320423691442,5918108,Manager,1956,0
48,2023-07-19,4771444556314207,CVS,online,375.1582031308894,Mike,Brown,Oak Ave,Los Angeles,NY,43545,2020-12-07,TXN000048,-69.48985149998217,-40.35652957737727,53.20444496297878,17.995829711743056,2649986,Engineer,1967,0
49,2023-03-09,4297839102883706,Walmart,gas,406.078000416268,Mike,Smith,Pine Rd,New York,NY,64079,1993-02-23,TXN000049,31.705521948262287,-44.65443252936106,15.089989072576074,-31.170032937392847,7947175,Teacher,1970,0
50,2023-12-20,4171687063429933,Amazon,shopping,209.84459533379393,Mike,Brown,Pine Rd,Los Angeles,IL,36855,2014-05-06,TXN000050,36.377493908308395,50.41756689482028,30.83463235683294,-153.83442389730806,5250888,Teacher,1980,0
51,2023-10-10,4070313135878172,Starbucks,grocery,106.06244678828028,John,Smith,Main St,Chicago,CA,45790,2018-07-12,TXN000051,39.76077942937758,-1.874032220925585,88.23452206530092,77.08374986483,2664589,Engineer,1950,0
52,2023-12-09,4690205919725552,Target,grocery,25.95942799233,Jane,Brown,Main St,Chicago,NY,61012,2015-10-12,TXN000052,41.12477020054658,125.68760927586379,-73.6808240683191,73.02629642257173,3354181,Teacher,1952,0
53,2023-11-23,4265927356576061,Amazon,online,291.96444776312626,Jane,Williams,Main St,New York,IL,24260,1994-12-09,TXN000053,-89.99049115218658,134.89271435761634,30.10406915398312,41.05569851012288,7642034,Manager,1980,0
54,2023-08-07,4317709381464811,Starbucks,online,229.19097978246734,Jane,Williams,Pine Rd,Los Angeles,CA,75139,2007-05-30,TXN000054,81.70574469240998,-118.59826391765336,-38.98841497729311,3.6945526394337094,5298210,Manager,1974,0
55,2023-12-03,4055768349704463,Starbucks,shopping,474.62847559910693,Jane,Williams,Main St,New York,NY,11074,2012-01-25,TXN000055,56.55757806983934,-130.95588544353876,25.21627138551061,-23.837615205345827,1837916,Manager,1957,0
56,2023-02-02,4366924517951211,CVS,shopping,34.999429318880345,John,Smith,Oak Ave,Los Angeles,CA,52676,1996-10-26,TXN000056,72.71670538607134,46.94433337295982,19.372243659108975,33.57759347567722,724564,Teacher,1950,0
57,2023-03-13,4251712563980664,CVS,shopping,344.27069500577284,Sarah,Williams,Oak Ave,Los Angeles,NY,19475,2011-02-28,TXN000057,-87.18420684466186,-71.5587306975794,-62.37777022053083,-95.97763737777359,7704379,Teacher,1956,0
58,2023-01-17,4440943211289501,CVS,gas,17.3582799494283,Sarah,Johnson,Pine Rd,Los Angeles,CA,88414,2012-12-16,TXN000058,78.0945832414331,-173.31454124456442,-52.78560376675695,158.85326310395317,9580032,Doctor,1956,0
59,2023-04-29,4778009000566782,Amazon,online,89.85991747171865,John,Williams,Main St,Chicago,CA,25120,2016-10-15,TXN000059,55.76193516385885,139.91136097066385,21.893324047778435,31.96603050488264,3344055,Doctor,1957,0
60,2023-05-22,4577683935449427,Amazon,gas,229.5216049618029,John,Brown,Oak Ave,Los Angeles,NY,33147,2011-09-05,TXN000060,60.69944573256575,-98.31572379222902,-66.91860948532066,-67.97072003242445,1172108,Doctor,1968,0
61,2023-04-10,4617396103948864,Target,online,230.16185918741976,Mike,Brown,Pine Rd,Chicago,IL,11986,2013-07-05,TXN000061,-73.20827075004567,154.5410346068913,-42.26744247654189,-18.115253681343376,434452,Teacher,1966,0
62,2023-10-30,4140587178872496,CVS,online,344.42176875215375,Mike,Brown,Main St,Los Angeles,CA,42430,2002-09-12,TXN000062,42.98004520534758,78.2764023161713,60.34419859284043,110.04652399568124,6368236,Doctor,1960,0
63,2023-05-11,4008806690041260,Starbucks,grocery,455.55545225953955,Mike,Smith,Oak Ave,Chicago,NY,65479,2014-04-28,TXN000063,82.78500413557637,94.55525636813434,-31.123528919705052,-121.81821813709291,3025989,Manager,1996,0
64,2023-04-13,4145742400872823,Walmart,online,321.3209186628858,Jane,Johnson,Main St,Chicago,CA,92966,2005-09-12,TXN000064,32.138521455268915,-107.47386151446224,-2.1491718714606804,-74.57917591430626,5453157,Teacher,1990,0
65,2023-07-18,4139216437807089,Target,online,476.99987343649684,Mike,Williams,Pine Rd,Chicago,CA,12176,2021-01-10,TXN000065,12.70105283242917,-95.69000677794735,79.40526032625124,64.62288818515995,6745618,Engineer,1998,0
66,2023-02-21,4801834812735633,Amazon,gas,441.3997417396088,Sarah,Johnson,Main St,New York,IL,94258,2017-04-08,TXN000066,80.21334199481944,7.656391376663663,-49.11316400934967,-66.4238856663994,7667509,Teacher,1960,1
67,2023-10-20,4483499883614500,Target,online,294.3273987877412,Jane,Johnson,Pine Rd,Los Angeles,CA,94153,2010-10-15,TXN000067,-10.271318087801518,-118.04405304604961,-19.86731687555813,105.30060547012772,9081245,Doctor,1987,0
68,2023-01-28,4737326816485807,Target,gas,417.7270157048195,Mike,Brown,Main St,New York,CA,71918,1994-11-30,TXN000068,17.87284193588617,-70.04459063410837,19.162399597838217,-133.0367446161501,8055998,Teacher,1990,0
69,2023-12-27,4953005613251508,Target,shopping,323.0759171101989,Jane,Brown,Oak Ave,Los Angeles,NY,37115,2011-09-11,TXN000069,-4.259107171014094,-64.27350793879039,45.96100731071499,94.56702136365908,5910173,Doctor,1999,0
70,2023-10-09,4949896635725774,Target,online,43.886126307244936,Sarah,Brown,Pine Rd,Los Angeles,NY,87442,2003-02-04,TXN000070,77.91231984485384,-122.53322402900493,72.29760960828693,-155.39338265379615,6990330,Doctor,1951,0
71,2023-03-14,4714992265859470,Walmart,online,371.5795380134574,Mike,Smith,Pine Rd,New York,IL,50002,2015-05-10,TXN000071,-76.3047491822087,-106.13417997774214,74.78513776323271,-175.46665943970189,4457434,Engineer,1953,0
72,2023-01-03,4909503956639608,CVS,gas,51.979678427336374,Sarah,Johnson,Pine Rd,Chicago,CA,67124,2019-03-12,TXN000072,0.20154614856267017,103.87866312297234,49.795213387072124,143.36046677957836,2345560,Engineer,1999,0
73,2023-10-25,4384103754703811,Starbucks,shopping,299.07097638200764,Sarah,Johnson,Main St,Los Angeles,CA,16610,2021-04-01,TXN000073,33.6514394493789,-119.80949236298338,-48.90044941320412,29.28211809562751,9012789,Manager,1977,0
74,2023-09-16,4981365480204474,Target,grocery,352.8069018998233,Sarah,Smith,Main St,Chicago,CA,59752,2013-11-05,TXN000074,52.543176916002636,-169.7553389361879,-85.53432059233816,-53.34231704874787,5283724,Doctor,1982,0
75,2023-09-24,4184691316033316,Target,shopping,37.93116606437334,Mike,Smith,Oak Ave,New York,IL,88947,2018-04-11,TXN000075,14.943356539944546,46.56777934641784,-20.920692535987712,-96.26593069301386,386645,Teacher,1960,0
76,2023-10-09,4536820484714468,Target,gas,119.24335369363322,John,Smith,Pine Rd,Chicago,CA,84716,2017-10-14,TXN000076,73.60519394186173,171.35392298128198,-64.5212068221918,42.0788819738938,9972264,Engineer,1952,0
77,2023-01-28,4724328978711334,CVS,shopping,458.25775496951667,Mike,Johnson,Pine Rd,Los Angeles,NY,57993,2000-03-12,TXN000077,79.5584604390969,-60.763026735676306,37.86977653889366,3.240786073225763,442911,Engineer,1989,0
78,2023-05-11,4534052916092222,Amazon,gas,310.0756736552837,Sarah,Johnson,Main St,Los Angeles,IL,20073,2022-07-12,TXN000078,-78.42253982515497,-137.28394684934918,29.00350562862903,176.97519919079468,6343966,Doctor,1954,0
79,2023-02-12,4551051179453783,Amazon,gas,126.91157931121313,Mike,Brown,Main St,Los Angeles,NY,47251,2006-04-12,TXN000079,-17.57330288255261,25.339437132311076,-82.08510450813813,173.95775519534845,1490929,Teacher,1970,0
80,2023-11-12,4148764735781089,Walmart,grocery,346.88648671826326,Sarah,Brown,Oak Ave,New York,NY,81437,2011-08-17,TXN000080,-85.7773760901922,146.28751599443262,60.586880243571215,48.608843810979465,3268832,Engineer,1971,0
81,2023-08-16,4770314167148230,Amazon,online,300.40432788103635,John,Johnson,Oak Ave,Los Angeles,IL,48897,2007-10-26,TXN000081,-30.705001672600275,102.26224073825239,-45.22621206758719,-20.566617801879403,6254994,Engineer,1986,0
82,2023-05-01,4345465973568259,Target,gas,253.27997145938446,Jane,Brown,Main St,New York,NY,60906,2006-02-17,TXN000082,6.6362792347083825,44.10571262857775,-12.199126411612397,-3.1892511115216564,1787346,Teacher,1960,0
83,2023-01-24,4798496274642503,Target,gas,488.2125526191014,John,Smith,Pine Rd,Chicago,CA,61616,2013-08-10,TXN000083,73.9430874917908,-66.57966122126422,30.22807238203363,65.69246384527031,9922612,Engineer,1993,0
84,2023-04-24,4807676493414236,Target,grocery,343.3096198167169,John,Williams,Oak Ave,Los Angeles,IL,14482,2014-02-26,TXN000084,62.37977804377252,15.076862379439177,-12.704618366594403,-143.4331640752627,3981792,Teacher,1971,0
85,2023-04-29,4912861929313589,Walmart,gas,190.84334928561677,Jane,Brown,Main St,Los Angeles,NY,82936,2001-01-06,TXN000085,-67.05004919904258,-147.15185713046807,-10.56819549601019,-61.793253428141455,3847878,Doctor,1990,0
86,2023-09-24,4179722179116274,Target,online,401.03634887804964,Mike,Johnson,Main St,Los Angeles,CA,49574,1996-11-18,TXN000086,-73.25453254663877,64.42035274104117,-78.18696083956674,-152.9019932387026,5598592,Engineer,1962,0
87,2023-08-21,4331266734201962,Amazon,grocery,442.86872999598796,Jane,Brown,Pine Rd,Chicago,CA,53284,2017-03-25,TXN000087,16.068120976200063,81.03456680315429,-17.740161133199308,-153.59012657390895,8135171,Doctor,1952,0
88,2023-11-20,4264850807964472,CVS,online,66.98417696083155,Mike,Brown,Main St,Los Angeles,NY,82932,2020-01-29,TXN000088,5.7812350425808745,167.41138424757077,47.672620779597025,-109.49787291807586,3579829,Teacher,1962,0
89,2023-06-22,4502309467931560,CVS,online,104.2737240334069,Mike,Brown,Main St,New York,CA,17338,1996-02-02,TXN000089,-42.05202454259571,-86.2569508517742,74.7317406935876,-5.308828346438332,7415246,Doctor,1977,0
90,2023-02-13,4680533089561081,Starbucks,grocery,112.03236951825095,Sarah,Williams,Oak Ave,Chicago,IL,52718,2012-07-06,TXN000090,71.90155521969035,-173.35568914451184,-15.570515328593075,102.51875561860413,3101200,Doctor,1960,0
91,2023-09-18,4801556115109751,Amazon,gas,347.1498456463375,Sarah,Smith,Main St,Chicago,NY,22500,2006-06-23,TXN000091,76.92595370307961,16.41904719377422,-13.754551161765804,-5.221479180285883,3724886,Doctor,1960,0
92,2023-10-05,4509098797776388,Target,online,303.5045797513753,Jane,Johnson,Main St,Chicago,CA,21545,2012-03-23,TXN000092,-17.52994109877072,74.4445815828532,36.47287913825738,-59.228420198086894,2890729,Manager,1970,0
93,2023-07-24,4781772652093493,CVS,online,311.40082452580117,John,Williams,Oak Ave,Chicago,CA,71480,2019-03-26,TXN000093,70.25446028043365,104.54669131787568,79.69896019894978,-150.35292347876708,5300990,Teacher,1970,0
94,2023-10-09,4875409753309910,Amazon,online,470.682783346303,Jane,Johnson,Pine Rd,Chicago,NY,15241,2005-05-02,TXN000094,-20.889199032664933,-110.25398411106818,-41.92903075691516,18.10638834592666,4344965,Teacher,1956,0
95,2023-06-30,4330276960400403,CVS,online,389.07620873961645,Mike,Johnson,Pine Rd,New York,NY,99314,2007-04-05,TXN000095,42.62702972934602,-85.76896714667149,-10.77404282317137,-82.34330886605636,2125229,Teacher,1966,0
96,2023-07-10,4641537225029360,Target,grocery,68.32877763333266,Sarah,Johnson,Oak Ave,Chicago,NY,32821,2016-12-01,TXN000096,-4.330400841409656,4.5327330962266785,53.27518383941421,41.376304050173076,7152762,Teacher,1997,0
97,2023-06-06,4112409001764730,CVS,grocery,177.0160058004646,Jane,Williams,Oak Ave,Los Angeles,NY,14695,2009-06-16,TXN000097,-67.93503182870705,-60.98370841079934,19.744842487326935,171.7875860876706,8645405,Teacher,1963,0
98,2023-01-10,4032888777558434,Starbucks,shopping,220.51985485698913,Jane,Smith,Pine Rd,Chicago,IL,87066,1999-02-10,TXN000098,77.02815622266388,129.78413517148022,-70.09445808648815,-139.92684426808194,7621930,Engineer,1982,0
99,2023-02-09,4677565434944656,Starbucks,shopping,201.00098643006442,Sarah,Johnson,Pine Rd,Chicago,NY,24318,2005-04-20,TXN000099,-8.262613192043418,-9.44634465406071,22.991892401207835,-103.63485646010163,9735016,Engineer,1960,0
100,2023-01-12,4484712388648962,CVS,online,336.30776153513017,Sarah,Smith,Pine Rd,Chicago,IL,60934,2020-02-05,TXN000100,42.20766725803264,107.84831187672108,-56.38566877248116,-9.685966284225088,2900632,Engineer,1962,0
101,2023-08-21,4686780145737442,Amazon,gas,446.48708611199845,Sarah,Smith,Pine Rd,Chicago,IL,32331,2006-07-29,TXN000101,-23.90871340236741,29.02311377364734,1.8388681341127437,168.70097352453462,9731896,Doctor,1950,0
102,2023-04-25,4263769502044940,Amazon,online,156.49547444378007,Mike,Brown,Pine Rd,Chicago,NY,62672,2001-12-08,TXN000102,-86.60144185627776,98.31245098216033,5.238588178878928,97.85151945719844,3099675,Doctor,1983,1
103,2023-07-05,4031300638770044,Amazon,gas,278.1791825284869,Sarah,Williams,Oak Ave,New York,IL,86860,1999-03-28,TXN000103,-71.90453543546954,-60.23772484908342,67.71660520049727,143.36250953861884,2517913,Teacher,1958,0
104,2023-11-28,4888328235576408,CVS,online,395.7576638472249,John,Williams,Main St,New York,NY,78754,2004-02-22,TXN000104,-0.6804936918136093,119.30998389491202,-6.751030677761136,-59.862654548714545,4156181,Manager,1962,0
105,2023-04-01,4819449243996739,Amazon,shopping,211.02793912844794,Jane,Brown,Pine Rd,Chicago,NY,95677,2018-06-05,TXN000105,34.193584282745235,-81.15396640163223,-39.70036399753904,177.13385056029404,8493057,Teacher,1986,0
106,2023-05-30,4149043354355044,Target,shopping,88.21847355765145,Sarah,Brown,Pine Rd,New York,CA,12837,2001-09-17,TXN000106,-29.747641215729764,16.5955708811847,-48.426057321114314,-142.98018621690335,6870961,Engineer,1979,0
107,2023-10-03,4358889147315127,Starbucks,gas,240.10072780555538,Sarah,Smith,Main St,Los Angeles,NY,50077,2002-09-12,TXN000107,35.18792265197706,-102.95743925740528,67.3653378031805,-160.9297538234037,4198851,Teacher,1990,0
108,2023-03-25,4665489174997626,Target,online,32.33514776779909,Mike,Johnson,Main St,Chicago,CA,89915,2022-04-09,TXN000108,35.75440609775208,-8.810452214570404,-59.21804620471889,128.01694573945014,4369122,Doctor,1994,0
109,2023-01-29,4279860259603650,Amazon,gas,471.47980973112703,Mike,Williams,Main St,Los Angeles,IL,14239,2010-08-29,TXN000109,36.70846331900955,-65.45692457686687,-13.34365904103413,153.81535327451502,4318368,Teacher,1986,0
110,2023-04-16,4443759681166049,Target,shopping,42.036496571511655,Jane,Johnson,Main St,Los Angeles,CA,96348,2013-01-08,TXN000110,-1.3460662763084912,-83.98676497060288,-56.30883931314954,-147.38927128340336,3953183,Engineer,1996,0
111,2023-02-28,4111372949090473,Amazon,online,222.0360740490362,John,Johnson,Main St,Chicago,IL,39669,2002-12-07,TXN000111,74.6795070218707,168.11460649009348,49.194727220587566,-139.16612637149706,4823979,Teacher,1956,0
112,2023-12-06,4125380098569678,CVS,online,267.29122423882046,Jane,Brown,Main St,Los Angeles,NY,58624,2016-07-10,TXN000112,-1.9446267634891967,-122.37332202477697,-4.6129248045685785,-168.05730320792142,2791268,Doctor,1963,0
113,2023-10-22,4545529272247832,Target,gas,492.7253969822063,Sarah,Johnson,Oak Ave,Los Angeles,IL,85147,2005-04-15,TXN000113,-8.95226517060513,103.43730148466227,-26.794135699773832,-142.37727744861934,6233559,Manager,1997,0
114,2023-08-20,4278196779410826,CVS,grocery,87.18080270321609,John,Smith,Main St,Los Angeles,IL,14150,1995-08-17,TXN000114,-54.11145257808714,174.2993854139574,-25.002064687235972,-104.60886595189888,5962521,Engineer,1955,0
115,2023-11-15,4215204839898337,CVS,gas,61.64360171311749,John,Brown,Main St,Chicago,NY,21109,1999-02-01,TXN000115,-34.62208427585943,-172.83546585357198,63.39855721013629,169.22758280760036,8485336,Teacher,1983,0
116,2023-10-21,4109776154238075,Walmart,shopping,9.309542795959072,John,Johnson,Oak Ave,Chicago,IL,36016,1995-05-19,TXN000116,-82.3797913467054,71.6498690551542,9.679311772998858,60.42968000628497,5431211,Doctor,1965,0
